,Rank,Scores,Name,Branch,Town,Genders Accepted,Campus Size,Total Student Enrollments,Total Faculty,Established Year,Rating,University,Facilities,City_y,State,Country,College Type,Average Fees
0,256,192.0,Institute of Chemical Technology,Chemical Engineering, Matunga,Co-Ed,16 Acres,1753,116,2008,3.67,,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Alumni Associations, Guest Room",Mumbai,Maharashtra,India,Public/Government,189512.8205
1,531,169.0,Institute of Chemical Technology,Polymer Engineering and Technology, Matunga,Co-Ed,16 Acres,1753,116,2008,3.67,,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Alumni Associations, Guest Room",Mumbai,Maharashtra,India,Public/Government,189512.8205
25,595,165.0,Shri Ramdeobaba College of Engineering and Management,Computer Science and Engineering, Nagpur,Co-Ed,,4685,256,1984,3.87,"Rashtrasant Tukadoji Maharaj Nagpur University, Nagpur","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Laboratories, Convenience Store, Alumni Associations, Parking Facility, Banks Facilities",Nagpur,Maharashtra,India,Private,442916.6667
2,671,161.0,Institute of Chemical Technology,Food Engineering and Technology, Matunga,Co-Ed,16 Acres,1753,116,2008,3.92,,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Alumni Associations, Guest Room",Mumbai,Maharashtra,India,Public/Government,189512.8205
3,896,151.0,Institute of Chemical Technology,"Pharmaceuticals Chemistry andTechnology", Matunga,Co-Ed,16 Acres,1753,116,2008,3.53,,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Alumni Associations, Guest Room",Mumbai,Maharashtra,India,Public/Government,189512.8205
74,1025,147.0,Thadomal Shahani Engineering College,Computer Engineering, Bandra,Co-Ed,,1718,110,1983,3.69,"University of Mumbai, Mumbai","Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Alumni Associations",Mumbai,Maharashtra,India,Private,587000
4,1195,141.0,Institute of Chemical Technology,Surface Coating Technology, Matunga,Co-Ed,16 Acres,1753,116,2008,3.5,,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Alumni Associations, Guest Room",Mumbai,Maharashtra,India,Public/Government,189512.8205
26,1282,139.0,Shri Ramdeobaba College of Engineering and Management,Computer Science and Engineering, Nagpur,Co-Ed,,4685,256,1984,3.94,"Rashtrasant Tukadoji Maharaj Nagpur University, Nagpur","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Laboratories, Convenience Store, Alumni Associations, Parking Facility, Banks Facilities",Nagpur,Maharashtra,India,Private,442916.6667
27,1325,137.0,Shri Ramdeobaba College of Engineering and Management,Mechanical Engineering, Nagpur,Co-Ed,,4685,256,1984,3.91,"Rashtrasant Tukadoji Maharaj Nagpur University, Nagpur","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Laboratories, Convenience Store, Alumni Associations, Parking Facility, Banks Facilities",Nagpur,Maharashtra,India,Private,442916.6667
5,1452,134.0,Institute of Chemical Technology,"Oil,Oleochemicals and SurfactantsTechnology", Matunga,Co-Ed,16 Acres,1753,116,2008,3.94,,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Alumni Associations, Guest Room",Mumbai,Maharashtra,India,Public/Government,189512.8205
