,Unnamed: 0,Name,Branch,Town,Exam,Rank_19_R1,Score_19_R1,Rank_19_R2,Score_19_R2,Rank_20_R1,Score_20_R1,Rank_20_R2,Score_20_R2,Genders Accepted,Campus Size,Total Student Enrollments,Total Faculty,Established Year,Rating,University,Facilities,City_y,State,Country,College Type,Average Fees
0,0,Institute of Chemical Technology,Chemical Engineering, Matunga,JEE,256,192,391,179,637,96.8544906,764,96.5201553,Co-Ed,16 Acres,1753,116,2008,3.55,,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Alumni Associations, Guest Room",Mumbai,Maharashtra,India,Public/Government,189512.8205
1,37,Institute of Chemical Technology,Dyestuff Technology, Matunga,JEE,1673,128,1598,130,2947,92.6768827,3206,92.2920648,Co-Ed,16 Acres,1753,116,2008,2.28,,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Alumni Associations, Guest Room",Mumbai,Maharashtra,India,Public/Government,189512.8205
2,34,Thadomal Shahani Engineering College,Computer Engineering, Bandra,JEE,1025,147,1159,142,1073,95.8345556,611,96.9417419,Co-Ed,,1718,110,1983,3.36,"University of Mumbai, Mumbai","Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Alumni Associations",Mumbai,Maharashtra,India,Private,587000
3,38,Thadomal Shahani Engineering College,Information Technology, Bandra,JEE,1882,124,2076,120,1446,95.1182239,1394,95.217857,Co-Ed,,1718,110,1983,2.99,"University of Mumbai, Mumbai","Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Alumni Associations",Mumbai,Maharashtra,India,Private,587000
4,74,Thadomal Shahani Engineering College,Chemical Engineering, Bandra,JEE,2496,113,3169,105,4015,91.1044385,5255,89.2094379,Co-Ed,,1718,110,1983,2.23,"University of Mumbai, Mumbai","Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Alumni Associations",Mumbai,Maharashtra,India,Private,587000
5,36,Shri Ramdeobaba College of Engineering and Management,Information Technology, Nagpur,JEE,1542,131,2068,120,1513,94.9982973,1747,94.6215562,Co-Ed,,4685,256,1984,2.59,"Rashtrasant Tukadoji Maharaj Nagpur University, Nagpur","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Laboratories, Convenience Store, Alumni Associations, Parking Facility, Banks Facilities",Nagpur,Maharashtra,India,Private,442916.6667
6,75,Shri Ramdeobaba College of Engineering and Management,Electrical Engineering, Nagpur,JEE,2498,113,2913,108,3956,91.2125751,6025,88.1199539,Co-Ed,,4685,256,1984,2.23,"Rashtrasant Tukadoji Maharaj Nagpur University, Nagpur","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Laboratories, Convenience Store, Alumni Associations, Parking Facility, Banks Facilities",Nagpur,Maharashtra,India,Private,442916.6667
7,77,Shri Ramdeobaba College of Engineering and Management,Civil Engineering, Nagpur,JEE,2601,112,4853,88,5067,89.4732118,5939,88.2289171,Co-Ed,,4685,256,1984,2,"Rashtrasant Tukadoji Maharaj Nagpur University, Nagpur","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Laboratories, Convenience Store, Alumni Associations, Parking Facility, Banks Facilities",Nagpur,Maharashtra,India,Private,442916.6667
8,78,Shri Ramdeobaba College of Engineering and Management,Civil Engineering, Nagpur,JEE,2601,112,4853,88,5067,89.4732118,6111,87.9271554,Co-Ed,,4685,256,1984,1.19,"Rashtrasant Tukadoji Maharaj Nagpur University, Nagpur","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Laboratories, Convenience Store, Alumni Associations, Parking Facility, Banks Facilities",Nagpur,Maharashtra,India,Private,442916.6667
9,79,Shri Ramdeobaba College of Engineering and Management,Civil Engineering, Nagpur,JEE,2601,112,4853,88,5306,89.179415,5939,88.2289171,Co-Ed,,4685,256,1984,1.6,"Rashtrasant Tukadoji Maharaj Nagpur University, Nagpur","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Laboratories, Convenience Store, Alumni Associations, Parking Facility, Banks Facilities",Nagpur,Maharashtra,India,Private,442916.6667
