,Name,Branch,Town,City,Exam,Rank_19_R1,Score_19_R1,Rank_19_R2,Score_19_R2,Rank_20_R1,Score_20_R1,Rank_20_R2,Score_20_R2
0,Institute of Chemical Technology,Chemical Engineering, Matunga, Mumbai,JEE,256.0,192.0,391.0,179.0,637.0,96.8544906,764.0,96.5201553
1,Pune Institute of Computer Technology,Computer Engineering, Dhankavdi, Pune,JEE,294.0,188.0,432.0,175.0,178.0,98.4038715,215.0,98.2578493
2,Pune Institute of Computer Technology,Computer Engineering, Dhankavdi, Pune,JEE,294.0,188.0,432.0,175.0,178.0,98.4038715,265.0,98.0693035
3,Pune Institute of Computer Technology,Computer Engineering, Dhankavdi, Pune,JEE,294.0,188.0,432.0,175.0,202.0,98.3014921,215.0,98.2578493
4,Pune Institute of Computer Technology,Computer Engineering, Dhankavdi, Pune,JEE,294.0,188.0,432.0,175.0,202.0,98.3014921,265.0,98.0693035
5,Pune Institute of Computer Technology,Computer Engineering, Dhankavdi, Pune,JEE,294.0,188.0,511.0,170.0,178.0,98.4038715,215.0,98.2578493
6,Pune Institute of Computer Technology,Computer Engineering, Dhankavdi, Pune,JEE,294.0,188.0,511.0,170.0,178.0,98.4038715,265.0,98.0693035
7,Pune Institute of Computer Technology,Computer Engineering, Dhankavdi, Pune,JEE,294.0,188.0,511.0,170.0,202.0,98.3014921,215.0,98.2578493
8,Pune Institute of Computer Technology,Computer Engineering, Dhankavdi, Pune,JEE,294.0,188.0,511.0,170.0,202.0,98.3014921,265.0,98.0693035
9,Pune Institute of Computer Technology,Computer Engineering, Dhankavdi, Pune,JEE,420.0,177.0,432.0,175.0,178.0,98.4038715,215.0,98.2578493
10,Pune Institute of Computer Technology,Computer Engineering, Dhankavdi, Pune,JEE,420.0,177.0,432.0,175.0,178.0,98.4038715,265.0,98.0693035
11,Pune Institute of Computer Technology,Computer Engineering, Dhankavdi, Pune,JEE,420.0,177.0,432.0,175.0,202.0,98.3014921,215.0,98.2578493
12,Pune Institute of Computer Technology,Computer Engineering, Dhankavdi, Pune,JEE,420.0,177.0,432.0,175.0,202.0,98.3014921,265.0,98.0693035
13,Pune Institute of Computer Technology,Computer Engineering, Dhankavdi, Pune,JEE,420.0,177.0,511.0,170.0,178.0,98.4038715,215.0,98.2578493
14,Pune Institute of Computer Technology,Computer Engineering, Dhankavdi, Pune,JEE,420.0,177.0,511.0,170.0,178.0,98.4038715,265.0,98.0693035
15,Pune Institute of Computer Technology,Computer Engineering, Dhankavdi, Pune,JEE,420.0,177.0,511.0,170.0,202.0,98.3014921,215.0,98.2578493
16,Pune Institute of Computer Technology,Computer Engineering, Dhankavdi, Pune,JEE,420.0,177.0,511.0,170.0,202.0,98.3014921,265.0,98.0693035
17,Pune Institute of Computer Technology,Information Technology, Dhankavdi, Pune,JEE,926.0,150.0,988.0,148.0,419.0,97.5332917,499.0,97.2807957
18,Bansilal Ramnath Agarawal Charitable Trust's Vishwakarma Institute ofTechnology,Computer Engineering, Bibwewadi, Pune,JEE,929.0,150.0,1062.0,146.0,597.0,96.9832324,679.0,96.7150457
19,Bansilal Ramnath Agarawal Charitable Trust's Vishwakarma Institute ofTechnology,Computer Engineering, Bibwewadi, Pune,JEE,929.0,150.0,1062.0,146.0,597.0,96.9832324,754.0,96.549567
20,Bansilal Ramnath Agarawal Charitable Trust's Vishwakarma Institute ofTechnology,Computer Engineering, Bibwewadi, Pune,JEE,929.0,150.0,1062.0,146.0,689.0,96.6749745,679.0,96.7150457
21,Bansilal Ramnath Agarawal Charitable Trust's Vishwakarma Institute ofTechnology,Computer Engineering, Bibwewadi, Pune,JEE,929.0,150.0,1062.0,146.0,689.0,96.6749745,754.0,96.549567
22,Bansilal Ramnath Agarawal Charitable Trust's Vishwakarma Institute ofTechnology,Computer Engineering, Bibwewadi, Pune,JEE,929.0,150.0,1208.0,141.0,597.0,96.9832324,679.0,96.7150457
23,Bansilal Ramnath Agarawal Charitable Trust's Vishwakarma Institute ofTechnology,Computer Engineering, Bibwewadi, Pune,JEE,929.0,150.0,1208.0,141.0,597.0,96.9832324,754.0,96.549567
